 t_index                      term   df
     915                   ballena    1
     916                   ballist    1
     917                     ballo    1
     918                   balloon    3
     919                    ballot   72
     920                  ballroom    2
     921                 ballstrik    1
     922                   balonia    1
     923                   balsamo    1
     924                  baltimor    3
     925                    baltin    1
     926                     bamba    3
     927                     bambi    1
     928                    bamboo    2
     929             bamboosupport    2
     930                    bament    1
     931                       ban   24
     932                     banco    1
     933                      band   11
     934                    bandag    8
     935                  bandanna    3
     936                    bandit    1
     937                      bang    7
     938                  bangalor    1
     939                   bangaru    3
     940                bangladesh    5
     941                      bank   68
     942                    banker   10
     943                 bankfraud    1
     944                  bankrupt    5
     945                bankruptci    4
     946                    banner    9
     947                   banquet    1
     948                   baptist    5
     949                       bar   54
     950                     barak    9
     951                      barb    4
     952                    barbar    2
     953                   barbara   24
     954                    barber    1
     955                barbershop    1
     956                 barcelona    1
     957                      bare   46
     958               barefacedli    1
     959                    barent   36
     960                      barg    3
     961                   bargain    9
     962                      bari    1
     963                      bark    1
     964                   barkina    2
     965                  barkolla    1
     966                   barkova    3
     967                     barna    4
     968                    barney    1
     969                 barnstorm    1
     970                     barot    1
     971                     barov    1
     972                      barr    1
     973                   barrack   35
     974                    barrag    2
     975                    barrel    2
     976                   barrera    2
     977                     barri    1
     978                  barricad   18
     979                   barrier   12
     980                  bartlett    1
     981                     barua    5
     982                      base  166
     983                   basebal    4
     984              baseballstyl    1
     985                  baseerod    1
     986                   baselin   16
     987             baselinebound    1
     988                  basement    1
     989                    basher    1
     990                bashraheel    1
     991                 bashrahel    1
     992                      basi   15
     993                     basic   43
     994                  basilica    1
     995                      bask    2
     996                    basket    3
     997                 basketbal    1
     998                    basset    1
     999                 bassiouni    1
    1000                   bastion    6
    1001                     batch    1
    1002                      bath    4
    1003                  bathroom    3
    1004                   bathtub    1
    1005                     batic    2
    1006                     baton    4
    1007                 battalion    3
    1008                    batten    1
    1009                    batter    8
    1010                   batteri    1
    1011               batteryoper    1
    1012                     battl   76
    1013               battlefield    4
    1014              battleground    8
    1015              battleharden    2
    1016                    bauman    6
    1017                  bautista    1
    1018                   bavaria    1
    1019                       bay    7
    1020                    bazaar    1
    1021                       bbc   29
    1022                     beach   17
    1023                beachfront    1
    1024                      bead    1
    1025                      beal    1
    1026                      beam   13
    1027                      bean    3
    1028                      bear   23
    1029                     beard   18
    1030                    bearer    2
    1031                      beat   79
    1032                    beaten   31
    1033                    beater    3
    1034               beaumontbas    1
    1035                    beauti    6
    1036                    beaver    1
    1037                     becam  104
    1038                  becausec    1
    1039                      beci    2
    1040                    becker    1
    1041                     becom  115
    1042                       bed   33
    1043                  bedanova    2
    1044                      bedi   12
    1045                   bedouin    1
    1046                   bedroom    6
    1047                  bedsheet    1
    1048                      beef    6
    1049                      beer    2
    1050                     befit    1
    1051                  befriend    1
    1052                   befuddl    1
    1053                       beg    4
    1054                     began  156
    1055                    beggar    1
    1056                     begin  151
    1057                     begun   31
    1058                    behalf    8
    1059                     behan    1
    1060                    behari    3
    1061                     behav    9
    1062                  behavior   10
    1063                    behind  155
    1064             behindthescen    2
    1065                  beholden    3
    1066                      beij    3
    1067                    beirut    9
    1068                     bekki    3
    1069                    belaru    1
    1070                     belch    1
    1071                   beleagu    3
    1072                   belgian    5
    1073                   belgium    6
    1074                   belgrad  100
    1075                      beli    1
    1076                    belida    3
    1077                    belief   17
    1078                    believ  292
    1079                   belittl    1
    1080                      bell    4
    1081                  belliger    1
    1082                    belong   31
    1083                     belov    5
    1084                      belt    8
    1085                      bema    2
    1086                    bemoan    1
    1087                       ben    5
    1088                     bench    4
    1089                 benchmark    1
    1090                      bend    2
